transaction_id,transaction_date,transaction_amount,transaction_type,transaction_duration,login_attempts,previous_transaction_date,previous_transaction_date_raw,location_device,device_id,ip_address,channel,location,customer_id,first_name,surname,dt_customer,account_id,account_type,currency,account_created_date,sender_account,sender_country,sender_region,receiver_country,receiver_region
TX001910,2023-01-26 16:13:15,301.47,Debit,291,1,2013-08-21 00:00:00,2024-11-04 08:09:25,Colorado Springs,D000030,36.13.239.172,BRANCH,Jakarta,C1006,Hannah,Napolitani,2013-08-21,EE816402671097545968,SAVINGS,USD,2013-08-21,EE181042894443739087,Spain,Europe,Estonia,Europe
TX001242,2023-05-19 16:44:53,168.11,Credit,12,1,2023-01-26 16:13:15,2024-11-04 08:06:59,New York,D000050,146.69.70.214,INTERNET BANKING,Kuressaare,C1006,Hannah,Napolitani,2013-08-21,EE816402671097545968,SAVINGS,USD,2013-08-21,EE670595952060641641,Spain,Europe,Estonia,Europe
TX001055,2023-06-05 17:48:07,382.07,Credit,147,1,2023-05-19 16:44:53,2024-11-04 08:08:17,Omaha,D000318,21.97.154.92,BRANCH,Rakvere,C1006,Hannah,Napolitani,2013-08-21,EE816402671097545968,SAVINGS,USD,2013-08-21,EE744909036826884237,Qatar,Asia,Estonia,Europe
TX001747,2023-06-05 17:48:33,305.18,Debit,216,1,2023-06-05 17:48:07,2024-11-04 08:08:22,Chicago,D000699,93.146.251.20,INTERNET BANKING,Yangon,C1006,Hannah,Napolitani,2013-08-21,EE816402671097545968,SAVINGS,USD,2013-08-21,EE381758714454105442,Czech Republic,Europe,Estonia,Europe
TX001190,2023-01-09 16:45:12,7.95,Debit,65,1,2013-06-29 00:00:00,2024-11-04 08:10:06,Phoenix,D000147,101.120.142.50,ATM,Narva,C1059,Johnny,Wilkins,2013-06-29,EE439018519889093488,BUSINESS,EUR,2013-06-29,EE235200952890698989,Singapore,Asia,Estonia,Europe
TX000690,2023-03-27 16:12:36,22.59,Debit,45,1,2023-01-09 16:45:12,2024-11-04 08:08:22,Seattle,D000048,113.115.81.178,ATM,Rakvere,C1059,Johnny,Wilkins,2013-06-29,EE439018519889093488,BUSINESS,EUR,2013-06-29,EE497573878969254085,Estonia,Europe,Estonia,Europe
TX000090,2023-11-20 16:28:09,392.96,Debit,100,1,2023-03-27 16:12:36,2024-11-04 08:08:38,Kansas City,D000141,186.54.68.246,INTERNET BANKING,Rome,C1059,Johnny,Wilkins,2013-06-29,EE439018519889093488,BUSINESS,EUR,2013-06-29,EE132322910281175583,Denmark,Europe,Estonia,Europe
TX000534,2023-12-05 16:19:23,498.67,Debit,244,1,2023-11-20 16:28:09,2024-11-04 08:08:24,Miami,D000690,89.6.100.149,INTERNET BANKING,Tallinn,C1059,Johnny,Wilkins,2013-06-29,EE439018519889093488,BUSINESS,EUR,2013-06-29,EE584024522539639771,South Korea,Asia,Estonia,Europe
TX000558,2023-07-05 17:49:26,770.65,Debit,137,1,2014-05-23 00:00:00,2024-11-04 08:09:01,Jacksonville,D000119,161.161.26.115,INTERNET BANKING,Madrid,C1061,Christian,Genovese,2014-05-23,EE521316362620785246,SAVINGS,USD,2014-05-23,EE857395329110939940,Thailand,Asia,Estonia,Europe
TX000918,2023-07-06 16:04:39,330.61,Credit,113,1,2023-07-05 17:49:26,2024-11-04 08:10:34,Nashville,D000648,186.54.68.246,BRANCH,Narva,C1061,Christian,Genovese,2014-05-23,EE521316362620785246,SAVINGS,USD,2014-05-23,EE835736255428004700,USA,America,Estonia,Europe
TX002144,2023-08-07 17:48:31,75.77,Debit,148,1,2023-07-06 16:04:39,2024-11-04 08:09:47,Charlotte,D000172,218.83.2.94,BRANCH,Seoul,C1061,Christian,Genovese,2014-05-23,EE521316362620785246,SAVINGS,USD,2014-05-23,MY27069031218771263146,Kenya,Africa,Estonia,Europe
TX001832,2023-10-26 16:52:14,137.81,Debit,44,1,2023-08-07 17:48:31,2024-11-04 08:07:40,Detroit,D000260,145.76.10.8,BRANCH,Seoul,C1061,Christian,Genovese,2014-05-23,EE521316362620785246,SAVINGS,USD,2014-05-23,ID85671337376414003134,Australia,Oceania,Estonia,Europe
TX001530,2023-03-20 16:48:00,927.16,Debit,153,1,2014-05-27 00:00:00,2024-11-04 08:10:20,San Francisco,D000385,84.237.126.96,ATM,Pärnu,C1065,Jennifer,Galkin,2014-05-27,EE485309768339577504,BUSINESS,EUR,2014-05-27,AU75642399089541003536,Japan,Asia,Estonia,Europe
TX001307,2023-06-29 16:06:51,100.01,Debit,63,1,2023-03-20 16:48:00,2024-11-04 08:09:27,Philadelphia,D000499,82.115.199.37,ATM,Warsaw,C1065,Jennifer,Galkin,2014-05-27,EE485309768339577504,BUSINESS,EUR,2014-05-27,EE871087683119502898,Italy,Europe,Estonia,Europe
TX001676,2023-10-13 16:05:10,49.84,Debit,146,1,2023-06-29 16:06:51,2024-11-04 08:07:16,Chicago,D000290,212.220.106.248,ATM,Tallinn,C1065,Jennifer,Galkin,2014-05-27,EE485309768339577504,BUSINESS,EUR,2014-05-27,EE777415574303412991,Czech Republic,Europe,Estonia,Europe
TX002457,2023-06-16 16:41:13,107.1,Credit,175,1,2013-12-22 00:00:00,2024-11-04 08:11:33,Philadelphia,D000453,163.129.70.210,INTERNET BANKING,Narva,C1072,William,Niu,2013-12-22,EE279291072392396334,BUSINESS,USD,2013-12-22,EE381441030346474553,France,Europe,Estonia,Europe
TX000633,2023-07-24 17:04:17,9.83,Debit,86,1,2023-06-16 16:41:13,2024-11-04 08:09:03,Memphis,D000054,210.98.198.143,ATM,Kuressaare,C1072,William,Niu,2013-12-22,EE279291072392396334,BUSINESS,USD,2013-12-22,EE688902118844371307,Nigeria,Africa,Estonia,Europe
TX000969,2023-10-02 16:20:52,278.28,Debit,26,1,2023-07-24 17:04:17,2024-11-04 08:07:37,Jacksonville,D000038,148.42.122.1,BRANCH,Rakvere,C1072,William,Niu,2013-12-22,EE279291072392396334,BUSINESS,USD,2013-12-22,EE903710775497824894,Czech Republic,Europe,Estonia,Europe
TX001060,2023-12-11 16:06:04,85.31,Debit,27,1,2023-10-02 16:20:52,2024-11-04 08:08:13,Kansas City,D000332,45.64.74.86,ATM,Madrid,C1072,William,Niu,2013-12-22,EE279291072392396334,BUSINESS,USD,2013-12-22,EE503576906715121699,USA,America,Estonia,Europe
TX001905,2023-08-07 16:16:26,227.61,Debit,61,1,2013-08-16 00:00:00,2024-11-04 08:07:41,Houston,D000162,220.179.173.114,INTERNET BANKING,Mexico City,C1099,Edwin,Macgroarty,2013-08-16,EE395537199224149115,BUSINESS,USD,2013-08-16,EE241292614114749618,USA,America,Estonia,Europe
TX001646,2023-09-25 16:23:57,981.76,Debit,234,1,2023-08-07 16:16:26,2024-11-04 08:06:45,Milwaukee,D000625,146.53.16.47,INTERNET BANKING,Tartu,C1099,Edwin,Macgroarty,2013-08-16,EE395537199224149115,BUSINESS,USD,2013-08-16,EE136257582375930185,South Africa,Africa,Estonia,Europe
TX001894,2023-10-19 16:13:30,4.58,Credit,135,1,2023-09-25 16:23:57,2024-11-04 08:06:26,Atlanta,D000162,89.6.100.149,INTERNET BANKING,Copenhagen,C1099,Edwin,Macgroarty,2013-08-16,EE395537199224149115,BUSINESS,USD,2013-08-16,EE898397766183363686,Italy,Europe,Estonia,Europe
TX002322,2023-10-25 16:50:02,124.05,Credit,220,1,2023-10-19 16:13:30,2024-11-04 08:12:09,Albuquerque,D000652,193.217.248.188,BRANCH,Kuressaare,C1099,Edwin,Macgroarty,2013-08-16,EE395537199224149115,BUSINESS,USD,2013-08-16,EE185517025564314712,Nigeria,Africa,Estonia,Europe
TX000581,2023-10-31 16:49:13,118.1,Debit,167,1,2023-10-25 16:50:02,2024-11-04 08:09:14,Memphis,D000023,110.243.14.36,INTERNET BANKING,Viljandi,C1099,Edwin,Macgroarty,2013-08-16,EE395537199224149115,BUSINESS,USD,2013-08-16,EE413689835698802582,France,Europe,Estonia,Europe
TX002308,2023-11-16 17:26:37,521.81,Debit,34,1,2023-10-31 16:49:13,2024-11-04 08:07:27,Virginia Beach,D000495,210.98.198.143,ATM,Narva,C1099,Edwin,Macgroarty,2013-08-16,EE395537199224149115,BUSINESS,USD,2013-08-16,EE359623893161108445,South Africa,Africa,Estonia,Europe
TX000738,2023-01-23 17:24:29,1092.73,Debit,11,1,2014-06-16 00:00:00,2024-11-04 08:07:50,Columbus,D000688,56.89.80.133,BRANCH,Yangon,C1113,Ronald,Hamilton,2014-06-16,EE549939229717995944,BUSINESS,USD,2014-06-16,EE868770279616052491,USA,America,Estonia,Europe
TX002286,2023-02-06 17:38:53,69.43,Debit,162,1,2023-01-23 17:24:29,2024-11-04 08:08:31,Las Vegas,D000472,134.247.5.188,ATM,Sillamäe,C1113,Ronald,Hamilton,2014-06-16,EE549939229717995944,BUSINESS,USD,2014-06-16,EE688902118844371307,Nigeria,Africa,Estonia,Europe
TX000093,2023-03-27 18:16:04,230.66,Debit,135,1,2023-02-06 17:38:53,2024-11-04 08:10:44,Houston,D000526,60.43.160.195,BRANCH,Madrid,C1113,Ronald,Hamilton,2014-06-16,EE549939229717995944,BUSINESS,USD,2014-06-16,EE349844005036468579,Thailand,Asia,Estonia,Europe
TX000182,2023-04-19 16:36:03,453.54,Debit,82,1,2023-03-27 18:16:04,2024-11-04 08:12:06,Albuquerque,D000150,223.32.70.156,ATM,Narva,C1113,Ronald,Hamilton,2014-06-16,EE549939229717995944,BUSINESS,USD,2014-06-16,EE361856089346325444,South Africa,Africa,Estonia,Europe
TX000613,2023-06-12 16:48:03,35.73,Debit,87,1,2023-04-19 16:36:03,2024-11-04 08:11:09,Miami,D000693,205.69.66.135,BRANCH,Rakvere,C1113,Ronald,Hamilton,2014-06-16,EE549939229717995944,BUSINESS,USD,2014-06-16,EE223983686367954655,Nigeria,Africa,Estonia,Europe
TX002289,2023-11-09 18:45:10,336.01,Debit,121,4,2023-06-12 16:48:03,2024-11-04 08:08:51,Colorado Springs,D000216,16.250.113.156,INTERNET BANKING,Tallinn,C1113,Ronald,Hamilton,2014-06-16,EE549939229717995944,BUSINESS,USD,2014-06-16,EE429847095390259628,Czech Republic,Europe,Estonia,Europe
